date,price
2021-12,6580
2021-11,6728
2021-10,6495
2021-09,6368
2021-08,6369
2021-07,6450
2021-06,6554
2021-05,6549
2021-04,6195
2021-03,6066
2021-02,6199
2021-01,6276
2020-12,6233
2020-11,6328
2020-10,6487
2020-09,6597
2020-08,6757
2020-07,6341
2020-06,6043
2020-05,5982
2020-04,5862
2020-03,5572
2020-02,5666
2020-01,5524
2019-12,5218
2019-11,5187
2019-10,5223
2019-09,5256
2019-08,5148
2019-07,4952
2019-06,4751
2019-05,4582
2019-04,4661
2019-03,4691
2019-02,4708
2019-01,4566
2018-12,4549
2018-10,4447
2018-09,4355
2018-08,4335
2018-07,4484
2018-06,4581
2018-05,4645
2018-04,4654
2018-03,4569
2018-02,4675
2018-01,4786
2017-12,4631
2017-11,4696
2017-10,4695
2017-09,4722
2017-08,4567
2017-07,4514
2017-06,4540
2017-05,4538
2017-04,4535
2017-03,4511
2017-02,4513
2017-01,4444
2016-12,4330
2016-11,4343
2016-10,4276
2016-09,4392
2016-08,4410
2016-07,4509
2016-06,4364
2016-05,4450
2016-04,4416
2016-03,4558
2016-02,4458
2016-01,4205
2015-12,4240
2015-11,4333
2015-10,4500
2015-09,4390
2015-08,4467
2015-07,4539
2015-06,4750
2015-05,4694
2015-04,4658
2015-03,4618
2015-02,4735
2015-01,4803
2014-12,4628
2014-11,4426
2014-10,4289
2014-09,4319
2014-08,4329
2014-07,4332
2014-06,4239
2014-05,4263
2014-04,4322
2014-03,4446
2014-02,4306
2014-01,4204
2013-12,4122
2013-11,4149
2013-10,4188
2013-09,4368
2013-08,4283
2013-07,4167
2013-06,4276
2013-05,4635
2013-04,4723
2013-03,4880
2013-02,4910
2013-01,4828
2012-12,4567
2012-11,4513
2012-10,4464
2012-09,4403
2012-08,4159
2012-07,4089
2012-06,4119
2012-05,4116
2012-04,4365
2012-03,4489
2012-02,4434
2012-01,4155
